Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,858.8,21788.12,24.64,23.78,44.94,46.29,0.15,57.02,130.23,-19.21,1289.1,15.65,23.36,20.3,22.46,884.08,5829.79,15.89,13.06,-22.04,26.53,35.76,19.78,12.28,18.14,20.69,17.35,-16.09,23.18,28.09,12.98,8.06,5394.94,9.22,1544.01,884.08,9.47,656.6,379.93,731.15,263.62,1387.8,23.36,20.02
ITC,500875,ITC,Cigarettes,270.15,332912.76,21.84,18.98,10.69,0,0,14.81,4195.69,11.72,16555.53,15.43,31.6,33.67,34.05,15242.66,60668.09,7.87,7.24,15.46,6.4,8.36,7.06,9.55,23.16,23.54,24.82,29.94,-1.18,-2.36,20.53,23.17,49257.45,6.59,17064.78,15242.66,8.63,13511.86,13766.97,10692.98,-366.88,36735.48,31.6,32.67
J B Chem & Pharm,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1577.65,12192.41,31.64,23.78,,54,0.02,83.67,84.85,-15.66,624.59,18.19,26.96,25.43,22.42,385.36,2424.24,13.84,12.52,-3.92,28.57,20.73,22.3,19.2,16.84,20.7,19.54,2.44,61.87,36.19,15.96,18.69,2042.52,11.32,560.41,385.36,11.7,266.61,-528.88,293.83,-3.28,-29.8,26.96,22.45
J K Cements,532644,JKCEMENT,Cement - North India,2150.45,16616.15,24.46,17.99,,45.82,0.95,19.5,201.13,-6.94,2351.16,10.17,17.74,16.23,18.55,679.21,7990.82,14.97,14.78,-7.4,36.63,30.09,27.03,14.18,17.17,18.65,16.85,-24.56,27.75,16.09,6.39,20.96,6606.1,12.98,1584.54,687.12,12.12,496.5,-649.05,831.23,108.23,311.17,17.74,16.27
J Kumar Infra,532940,JKIL,Construction,292,2209.43,10.73,20.38,,46.64,0.23,91.89,74,126.23,1114.45,12.34,12.16,15.27,14.31,205.88,3527.2,8.17,17.07,224.73,5.3,13.94,11.79,11.7,8.87,8.09,10.36,48.15,22.65,-0.18,5.43,37.2,2570.84,14.79,311.38,205.88,14.24,153.14,269.45,239.18,-13.39,591.24,12.16,13.27
Jash Engineering,,JASH,Engineering,650.7,777.02,31.38,19.8,23.33,52.57,0.41,184.97,13.28,-23.24,116.09,20.48,16.26,13.63,13.52,24.76,256.71,8.4,12.05,-10.61,12.96,19.08,17.83,14.76,13.76,15.15,13.19,62.65,71.35,,7.28,18.46,216.71,12.76,44.39,24.76,12.93,19.76,21.09,34.58,-0.17,56.23,16.26,15.35
Jindal Stain.,532508,JSL,Steel - Large,113.3,5953.86,3.16,4.59,8.6,69.87,0.62,42.19,735.53,190.06,6563.51,67.71,22.26,37.78,14.07,1881.26,21223.4,16.11,18,427.37,136.54,96.95,21.79,44.12,17.76,22.83,45.13,7.65,43.55,8.49,14.92,74.13,12188.46,17.33,1424.31,1881.26,9.35,558.2,324.52,1145.31,37.16,2475.61,22.26,18.44
JTEKT India,520057,JTEKTINDIA,Auto Ancillaries,77.85,1903.28,46.63,22.01,,75,0.11,55.52,14.12,-32,470.02,-0.1,7.02,9.88,8.01,40.81,1588.8,-3.24,5.57,250,-17.47,1.22,1.06,-1.79,7.72,4.58,6.63,-29.42,-9.13,-1.27,4.71,19.19,1332.97,0.33,102.72,36.91,1.12,43.76,-12.75,55.27,6.6,128.63,7.02,11.49
Jubilant Food.,533155,JUBLFOOD,Food - Processing - MNC,524.7,34622.08,81.75,81.75,6.37,41.94,1.08,1.83,96.76,-8.57,1175.97,13.31,21.39,20.99,24.99,423.53,4396.12,7.25,11.22,78.94,9.81,44.44,20.98,14.68,23.79,22.96,25,-18.47,25.33,40.46,9.91,32.74,3311.87,11.19,780.04,420.39,15.74,295.68,473.77,532.57,-140.24,1451.1,21.39,24.83
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals,480.7,7656.64,16.06,23.06,,51.1,0.1,42.84,68.59,8.1,1295.75,89.4,,28.74,16.81,476.71,4949.36,,,651.32,,,,,,,21.89,-16.58,,,13.31,623.45,684.13,,117.12,476.71,,,225.19,84.78,73.29,309.97,,
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,381.25,6073.31,14.7,20.38,,50.68,0.6,55.25,59.55,-73.22,1527.53,-3.31,13.25,9.65,18.7,413.02,6130.16,-12.37,0.9,-51.76,-17.62,-6.52,35.86,14.91,15.1,14.22,8.21,-50.63,-3.62,-9.91,4.4,0.52,6098.54,0.92,1403.16,413.94,3.68,713.46,241.07,1269.98,-728.86,2486.37,13.25,14.22
Jyothy Labs,532926,JYOTHYLAB,Personal Care - Indian,152,5581.57,35.08,31.47,,62.89,0.12,23.78,37.98,-20.83,546.71,10.42,15.06,13.21,11.3,159.13,2196.49,6.59,5.47,-24.23,-6.8,-4.83,4.21,15.95,13.77,13.21,11.08,-1.62,-3.96,-4.49,8,15.05,1909.12,5.45,314.83,161.98,9.17,176.04,181.16,376.51,56.94,687.62,15.06,15.46
Jyoti Resins,514448,,Chemicals,2462.8,985.12,49.85,23.06,,49.97,0,129.04,6.92,163.12,57.46,60.06,47.84,49.64,13.06,19.76,181.96,38.37,34.77,77.22,107.87,119.25,91.4,42.81,35.19,36.08,37.12,172.52,151.81,74.76,13.36,86.11,97.77,31.95,10.46,19.76,37.97,8.41,-5.47,-5.9,-0.67,-6.13,47.84,45.35
K E C Intl.,532714,KEC,Transmisson Line Towers / Equipment,380.75,9788.64,27.65,20.6,,51.82,0.85,135.62,112.04,-42.34,4274.78,-1.97,18.88,12.54,6.57,354.02,13742.26,7.7,9.87,-35.41,-10.6,2.38,28.74,7.2,18.37,15.98,10.14,-4.08,5.71,7.87,2.33,4.79,13114.2,7.16,1239.86,332.08,8.98,484.81,-482.32,730.8,47.11,133.97,18.88,21.78
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,950.3,15129.16,40.13,30.04,19.36,47.5,0.08,50.57,95.76,-24.65,1101.75,15.67,21.9,24.42,16.48,376.98,3705.19,7.82,7.76,20.65,17.39,8.11,11.13,16.49,17.22,17.36,18.89,-7,15.91,6.57,13.89,33.24,2780.9,7.82,514.98,376.98,10.93,280.98,162.13,407.55,8.71,672.81,21.9,22.94
Kaveri Seed Co.,532899,KSCL,Miscellaneous,547.75,3194.57,15.29,23.2,50.61,57.44,0,28.61,-13.09,8.65,54.56,-0.94,21.37,17.06,21.26,208.9,915,6.02,6.49,-25.24,4.23,10.06,-5.13,12.73,20.11,20.64,16.34,-20.86,0.92,-3.82,10.92,-7.02,984.04,-2.77,286.87,208.9,9.41,218.65,60.26,204.03,2.81,365.87,21.37,20.89
KNR Construct.,532942,KNRCON,Construction,250.55,7046.33,19.98,37.56,,51.48,0.63,60.57,139.16,46.95,1102.09,11.26,20.94,20.83,22.15,352.63,3605.82,16.31,17.04,10.17,11.13,27.61,26.58,22.72,19.07,17.53,16.45,12.46,20.25,18.68,7.6,24.18,2903.63,21.84,702.1,381.84,14.99,282.97,-690.03,-169.68,86.77,-834.94,20.94,20.27
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1791.8,355698.65,29.42,18.12,60.91,25.98,3.85,0,3891.82,50.3,8838.13,11.15,6.83,6.68,6.99,12089.39,33740.4,4.19,8.61,21.36,18.91,19.64,21.83,20.76,13.64,13.7,14.25,-0.14,6.5,12.9,2.52,2.8,32819.83,14.2,2601,12089.39,14.82,8796.44,7784.66,4580.99,-16363.23,58571.79,6.83,7.19
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small,510,13981.33,50.98,26.37,,40.11,0.17,55.74,78.88,50.36,651.77,20.62,19.05,24.48,18.03,274.23,2432.39,55.96,,93.64,51.13,,,,,16.8,21.8,109.62,73.26,,12.84,19.48,2035.74,,307.81,274.23,,129.77,406.49,568.12,9.89,1295.96,19.05,
KRBL,530813,KRBL,Food - Processing - Indian,214.95,5059.71,11.01,45.39,,59.8,0.04,25.08,109.06,-21.02,987.4,1.38,18.61,15.24,15.72,459.4,4210.56,0.72,6.01,-17.8,-2.8,2.84,5.07,17.2,16.94,15.43,11.84,-7.17,-13.05,-11.44,9.8,5.48,3991.88,4.27,822.22,459.4,10.15,502.22,520.08,342.8,144.99,2044.39,18.61,19.65
L G Balakrishnan,500250,LGBBROSLTD,Auto Ancillaries,571.85,1795.18,7.84,22.01,,34.32,0.08,51.01,63.53,16.24,558.89,11.98,21.22,29.04,18.48,228.97,2102.09,7.59,10.82,86.64,35.82,26.71,19.45,17.88,16.52,17.24,22.76,44.85,18.25,8.77,14.95,30.65,1608.99,8.98,253.77,245.48,8.88,121.01,154.84,199.81,56.6,487.22,21.22,20.63
L&T Technology,540115,LTTS,Computers - Software - Medium / Small,3446.9,36377.7,38.01,26.37,90.68,73.9,0.11,94.22,262,34.7,1756.1,21.91,34.58,33.35,21.54,957,6569.7,8.96,15.13,47.95,7.72,17.6,17.43,,27.41,25.35,25.07,19.94,26.24,36.33,17.22,20.55,5449.7,14.04,1007.4,957,,739.14,764.6,1251.7,-40.8,2503.3,34.58,36.77
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,1585.1,222729.57,25.86,14.09,61.7,0,1.52,107.59,3620.69,9.96,52850.67,9.9,13.07,11.23,15.44,8613.77,156521.23,5,7.44,-38.35,-0.38,7.74,10.53,6.62,14.97,14.76,10.81,5.43,1.65,6.49,3.29,15.11,135979.03,7.9,23460.24,8669.33,9.31,9905.34,16123.7,21921.8,2139.06,41439.95,13.07,13.26
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals - Indian - Formulations,546.65,29374.75,39.12,24.96,17.82,27.27,0.49,98.41,221.22,-24.44,1377.66,-1.51,25.96,23.4,27.33,750.94,4707.04,28.16,20,-21.51,98.78,30.28,39.38,42.55,22.44,28.15,24.62,-10.61,99.99,34.52,12.28,-1.29,4768.72,19.84,1510.72,750.09,26.44,448.9,61.58,98.19,37.9,286.67,25.96,21.28
Laxmi Organic,543277,LXCHEM,Chemicals,336.15,8900.68,34.72,23.06,9.72,72.92,0.11,79.1,57.4,57.95,879.86,69.36,20.87,25.49,11.92,256.37,3084.19,25.28,23.44,101.53,52.64,29.07,,,18.78,18.54,21.96,49.6,,,12.49,74.4,1768.45,,220.02,256.37,,116.18,-242.61,-10.14,6.44,-134.25,20.87,21.11
Lincoln Pharma.,531633,LINCOLN,Pharmaceuticals - Indian - Formulations,293.3,587.47,8.47,24.96,31.11,42.05,0,89.63,11.02,-12.4,102.59,28.91,23.72,24.03,20.22,69.36,472.12,8.84,5.56,11.31,12.37,19.6,24.77,32.46,17.85,17.62,17.16,-1.43,20.47,10.58,13.96,11.3,424.19,8.54,87.37,69.36,9.67,53.36,30.73,60.59,-0.7,159.56,23.72,22.74
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs,618.65,28120.9,,20.38,-33.62,46.78,0.34,94.82,-517.98,-211.16,3883.03,2.64,4.28,-7.05,1.75,-1509.36,16405.48,3.81,-1.13,-228.19,,,,,0.31,-2.04,-11.63,-49.72,-5.21,-11.82,-6.67,8.19,15162.96,3.64,2566.88,-1528.04,8.76,41.42,-530.68,1150.36,-1303.09,1417.24,4.28,6.75
M & M,500520,M&M,Automobiles - Passenger Cars,1036.5,128856.91,20.5,51.43,,19.47,1.65,25.8,2237.36,2140.47,25934.4,20.87,9.17,11.34,16.28,6286.33,90170.57,-4.86,1.48,225.77,6.64,12.82,11.26,7.73,9.39,5.96,14.17,28.12,17.92,7.81,4.09,21.4,74277.78,3.38,11487.02,6577.32,4.26,3695.1,3327.69,13283.49,-1370.44,8360.13,9.17,10.65
M M Forgings,522241,MMFL,Castings & Forgings,894.6,2159.64,19.32,18.98,,56.34,1.02,55.83,29.2,-3.12,313.56,10.04,10.22,14.02,17.01,111.77,1087.98,6.37,17.86,139.8,11.18,20.82,12.01,18.02,15.96,13.87,20.74,52.7,18.64,23.88,8.27,49.93,725.65,11.67,121.29,111.77,12,70.87,35.97,-19.86,12.65,201.52,10.22,11.61
Manappuram Fin.,531213,MANAPPURAM,Finance & Investments,92.6,7837.62,5.9,25.9,20.37,35.06,2.97,0,261.1,-44.28,1481.35,-8.69,14.17,11.89,64.8,1328.43,6061.02,13.19,12.22,-22.93,12.22,11.95,25.5,,22.52,23.2,16.95,-43.74,-12.82,-0.08,4.08,-4.26,6330.55,17.26,4661.86,1328.43,,1226.96,-584.74,-671.7,-747.31,-4972.55,14.17,14.27
Marico,531642,MARICO,Personal Care - Indian,492.55,63677.25,51.98,31.47,9.48,59.49,0.12,25.02,251,7.97,2161,7.41,43.89,44.52,17.67,1225,9512,9.05,9.96,5.41,3.37,9.94,11.75,14.44,36.19,36.08,36.96,0.06,9.43,9.34,22.39,18.19,8048,7.5,1589,1225,9.1,1070.15,887,1931,16,3852,43.89,42.9
Marine Electric.,,MARINE,Electric Equipment,28.45,348.98,27.99,22.99,,73.52,0.2,134.7,4.84,6.37,76.38,14,11.03,13.64,8.11,12.47,322.89,-0.04,9.04,65.17,17.08,7.71,,10.3,7.89,6.27,9.03,-60.35,12.56,,4.32,61.55,199.87,,22.64,12.47,15.26,8.8,32.05,-4.26,-3.79,48.84,11.03,12.86
Marksans Pharma,524404,MARKSANS,Pharmaceuticals - Indian - Bulk Drugs,46.2,1891.03,10.12,20.38,,48.25,0.09,96.65,29.65,-62.7,418.04,26.6,28.48,22.92,17.37,186.81,1490.84,14.24,14.21,-21.26,34.69,84.11,7.94,11.84,19.51,22.75,17.89,-44.8,29.14,1.14,13.03,8.33,1376.18,9.36,339.63,186.81,15.41,130.85,52.96,132.84,118.56,359.5,28.48,24.14
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars,7935.1,239703.5,61.79,51.43,,56.37,0.01,8.41,1875.8,51.14,26749.2,11.3,7.58,8.87,6.46,3879.5,88329.8,0.87,5.34,73.21,-13.39,-8.09,2.22,9.99,9.21,6.13,7.2,9.85,5.01,1.48,5.32,25.52,70372,8.22,5410.6,3879.5,9.36,4380.86,-1482.8,6527.9,20,5140.9,7.58,12.38
Max Healthcare,543220,MAXHEALTH,Healthcare,357.35,34649.89,56.58,26.8,6.24,50.64,0.15,35.78,123.73,77.54,938.8,17.08,8.74,12.18,23.97,612.44,3931.46,32.48,19.57,1092.68,3028.56,110.47,,,4.96,6.12,10.27,39.95,,,6.91,56.97,2504.67,,404.1,605.05,,139.55,192.35,1.06,515.58,180.41,8.74,7.85
Minda Corp,538962,MINDACORP,Auto Ancillaries,195.3,4669.22,28.42,22.01,,64.73,0.38,69.76,75.86,487.15,947.76,19.35,4.13,11.77,9.9,164.32,2975.94,-1.27,7.64,211.21,1.42,12.45,9.35,9.83,6.36,0.54,13.26,43.18,18.02,13.03,6.71,26.39,2354.5,6.11,165.9,191.88,7.95,64.01,59.16,-45.1,-41.6,318.36,4.13,8.82
Minda Industries,532539,MINDAIND,Auto Ancillaries,865.65,24724.73,69.49,22.01,7.6,67.47,0.27,60.44,144.37,3.71,2415.08,7.9,12.95,14.27,10.65,355.8,8313,12.06,19.68,73.32,7.68,16.71,31.32,34.84,13.91,10.92,12.5,41.33,37.51,34.28,6.44,30.43,6373.74,20.66,726.88,355.8,21.57,259.62,-182.47,54.63,-58.06,329.37,12.95,15.74
MOIL,533286,MOIL,Mining / Minerals / Metals,154.55,3144.86,8.45,16.65,7.44,64.68,0,43.93,131.07,9.32,467.89,3.94,13.83,20.87,37.7,372.39,1436.3,-0.04,8,79.53,-7.55,4.02,-1.97,-0.98,12.31,10.04,15.01,-19.98,1.09,-1.83,12.48,22.54,1172.14,8.31,286.81,376.98,4.8,343.19,130.06,154.02,-199.99,142.19,13.83,17.91
Mold-Tek Pack.,533080,MOLDTKPAC,Plastics Products,738.25,2436.02,38.27,29.86,20.37,34.36,0.1,82.66,17.32,-8.02,177.92,10.48,22.07,22.54,19.11,63.66,631.47,17.03,16,29.81,27.24,19.23,20.98,20.97,19.33,20.1,18.25,47.65,44.5,20.05,12.6,31.85,478.93,12.57,96.25,63.66,14.03,43.12,-53.37,9.51,0.14,-30.67,22.07,22.09
Morepen Labs.,500288,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,39.4,1882.64,18.52,23.78,2.16,36.74,0.03,59.14,12.32,-53.96,368.28,28.5,18.29,21.41,8.84,101.68,1546.83,26.26,21.04,4.73,52.18,33.89,73.6,17.11,18.99,21.5,21.19,-38.63,28.31,14.75,10.55,30.2,1188.06,21.29,118.51,101.68,18.25,58.16,-124.96,10.44,27.75,-120.57,18.29,15.09
Motherson Sumi,517334,MOTHERSON,Auto Ancillaries,122.7,55431.13,62.2,22.01,3.29,68.16,0.69,37.76,121.62,-80.91,17184.83,1.25,9.08,8.04,7.02,891.13,63535.99,0.01,8.44,-16.57,-17.87,-10.66,-0.68,16.61,10.86,7.9,5.38,-38.78,6.97,-6.81,2.32,10.75,57369.9,9.04,4370,873.85,15.71,1284.12,26.36,3118.8,1067.8,7302.96,9.08,12.26
Mphasis,526299,MPHASIS,Computers - Software - Medium / Small,2507.85,47164.06,32.96,26.37,76.19,55.8,0.18,29.54,392.07,23.7,3277.67,29.85,25.82,26.09,17.7,1430.89,11961.44,15.66,14.51,17.62,10.13,12.32,11.82,5.74,19.4,20.76,21.25,24.78,37.24,32,14.22,23.03,9722.31,10.91,1802.87,1430.89,8.9,1149.76,1596.55,1329.34,-216.86,4122.6,25.82,24.22
Multi Comm. Exc.,534091,MCX,Miscellaneous,1296.4,6611.64,41.49,23.2,,0,0,11.41,36.53,38.32,106.46,9.79,15.13,14.43,43.87,159.37,366.81,6.93,7.17,-13.01,0.82,8.04,8.93,-5.56,11.14,12.72,11.24,-17.32,17.59,4.01,6.01,-6.08,390.56,7.4,185.13,143.45,-3.88,151.48,309.54,-205.51,-377.1,525.8,15.13,13.16
Muthoot Finance,533398,MUTHOOTFIN,Finance & Investments,1062.35,42636.91,10.78,25.9,92.78,73.37,2.72,0.07,960.28,-3.55,2669.89,-5.45,15.22,14.14,82.86,3954.3,11082.32,17.23,14.04,6.24,26.09,27.36,28.85,16.06,25.41,26.16,23.55,-27.94,18.51,18.77,5.9,4.97,10557.21,14.39,8739.34,3954.3,9.31,2888.98,-1212.83,-7559.96,1612.13,-13308.34,15.22,15.58
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals,3649.7,18085.71,68.75,23.06,53.09,29.71,0.07,89.82,75.15,16.17,408.94,21.55,20.65,19.22,24.41,263.07,1453.36,13.43,14.41,7.04,21.39,15.02,27.4,1.66,19.33,20.31,15.13,9.02,70.3,41.52,12.28,23.23,1179.39,13.7,309.43,263.07,7.21,248.99,-501.08,146.72,-44.88,-295.62,20.65,22.03
Nazara Technolo.,543280,NAZARA,Computers - Software - Medium / Small,1161.85,3814.62,134.32,26.37,8.71,19.32,0,49.73,2.2,-31.25,175.1,41.9,3.53,8.27,13.74,28.4,621.7,54.16,26.73,217.12,65.99,-13.57,,,2.47,1.86,3.34,-32.69,,,4.18,36.88,454.21,,38.86,28.4,,12.62,50.7,65.36,14.32,106.97,3.53,4.95
Nestle India,500790,NESTLEIND,Food - Processing - MNC,16774.9,161736.4,69.79,54.08,221.68,62.76,0.13,4.1,594.71,-1.25,3980.7,10.24,124.6,147.06,23.78,2317.62,15079.29,9.21,9.98,7.33,13.03,18.14,10.08,9.16,67.1,93.46,113.08,-4.34,12.78,20.29,28.81,10.59,13350.03,5.89,3201.5,2144.86,6.95,1840.66,1540.55,1980.36,177.13,5663.96,124.6,95.1
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,1053.95,1352.21,21.19,20.38,,36.22,0.29,89.93,21.78,25.97,255.87,4.56,9.5,9.33,15,63.82,951.08,12.56,10.44,-9.88,56.88,6.33,21.68,37.83,5.21,6.65,7.85,-49.2,22.37,-5.46,4.71,1.51,936.91,10.62,147.09,63.82,7.81,35.89,-36.86,83.97,-8.77,56.43,9.5,7.5
NHPC Ltd,533098,NHPC,Power Generation And Supply,32.9,33048.16,9.38,37.31,,70.95,0.75,205.6,467.15,5.61,1674.31,4.05,8.17,6.38,43.27,3523.57,9188.78,0.76,1.28,8.74,14.61,3.09,5.3,1.52,9.44,10.3,10.36,22.53,9.81,-0.3,5.02,-4.76,9647.89,1.6,5251.25,3523.57,2.5,2968.51,1460.09,3090.84,405.1,3911.72,8.17,8.56
NIIT,500304,NIITLTD,Computers - Education,422.95,5670.35,24.82,15.68,16.9,35.03,0.02,49.98,67.38,39.16,374.98,34.5,9.92,17.78,21.24,228.45,1377.48,16.76,10.26,117.51,38.15,41.88,28.35,13.61,10.35,10.41,14.55,53.6,59.14,36.82,10.9,45.07,949.5,5.41,157.04,226.2,1.01,119.14,261.9,207.12,88.09,455.1,9.92,10.85
Nilkamal Ltd,523385,NILKAMAL,Plastics Products,1926.3,2874.04,34.48,29.86,,64.53,0.29,41.97,19.99,-47.61,742.05,9.14,14.43,10.05,8.11,83.35,2730.09,4.94,6.17,-26.08,-10.84,-7.43,6.86,3.04,11.59,10.2,7.12,-15.38,16.91,-0.6,4.54,30.49,2092.2,5.36,255.81,83.35,6.06,114.32,-86.82,128.98,12.67,201.68,14.43,16.63
NLC India,513683,NLCINDIA,Power Generation And Supply,72.45,10046.18,10.81,37.31,,79.2,1.56,113.33,328.02,-54.76,3085.89,8.68,8.39,8.24,34.84,929.03,11947.94,6.57,1.49,-13.61,-15.14,-26.04,-5.18,-3.69,10.23,8.3,6.57,11.38,3.68,-6.92,1.83,20.25,9936.18,10.14,2751.09,1092.57,9.3,1356.26,6855.96,2067.8,140.38,4677.6,8.39,9.54
NOCIL,500730,NOCIL,Chemicals,265.1,4416.94,25.08,23.06,10.57,33.85,0,104.49,68.92,84.62,462.74,43.71,13.16,17.65,18.21,176.11,1571.31,14.64,16.18,101.73,-1.26,12.58,17.22,17.69,12.74,10.37,12.9,26.93,29.19,18.52,10.22,69.93,924.66,11.82,131.62,176.11,12.51,149.28,-66.42,67.02,35.45,0.14,13.16,17.55
Novartis India,500672,NOVARTIND,Pharmaceuticals - Multinational,629.15,1553.42,34.08,32.24,,70.68,0.03,40.67,-23.37,149.18,98.32,-0.98,5.8,6.8,6.78,45.58,399.87,-6.59,-9.43,118.4,-4.15,-4.45,-6.86,-11.35,5.21,3.55,6.5,-23.85,-2.3,-0.25,4.65,4.86,381.35,-10.52,26.79,-3.72,-7.17,38.88,38.17,-69.3,-10.85,-55.27,5.8,9.4
NTPC,532555,NTPC,Power Generation And Supply,155.25,150540.74,9.03,37.31,,51.1,1.56,75.22,5166.5,13.68,37085.07,23.2,9.13,9.16,30.36,16675.9,132669.28,9.78,10.09,8.29,3.48,9.18,7.81,5.4,11.83,11.48,12.77,30.68,4.92,3.36,4.16,18.95,111531.15,7.5,34047.1,16675.9,7.36,13633.16,17457.31,9162.08,360.5,32446.55,9.13,8.7
O N G C,500312,ONGC,Oil Drilling / Allied Services,164.65,207134.3,4.41,20.98,,58.91,0.47,13.17,10550.29,49.06,155920.48,36.62,12.63,16.83,15.02,46986.13,531761.83,8.04,13.48,198.57,14.36,14.33,14.97,6.05,12.21,11.7,19.56,33.27,-1.22,-0.46,9.03,74.95,303957.71,18.62,49466,45522.11,14.27,26217.42,45070.04,15146.94,-195.44,88952.46,12.63,14.4
Oberoi Realty,533273,OBEROIRLTY,Construction,792.85,28828.2,27.53,24.85,,67.7,0.27,16.88,232.35,-19,823.46,4.22,10.73,11.91,43.85,1047.1,2693.97,1.42,19.32,42.16,9.59,22.87,18.77,8.88,9.26,9.07,10.58,21.44,14.34,15.63,7.56,31.25,2052.58,16.54,1000.58,1047.1,12.57,744.26,-137.44,-621.24,-11.33,-1266.32,10.73,10.97
Oil India,533106,OIL,Oil Drilling / Allied Services,300.2,32553.84,5.79,20.98,,56.66,0.55,21.29,2117.69,115.31,8869.71,36.42,17.13,21.98,34.99,5621.63,30011.2,29.62,25.69,47.39,12.5,18.57,11.59,5.01,15.56,18.66,20.73,111.04,18.31,9.28,11.56,70.23,17629.53,17.04,5757.07,5621.63,11.77,4197.67,5475.62,2116.67,420.04,10779.68,17.13,15.29
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,3176.55,27427.58,14.52,26.37,219,73.11,0.01,64.75,481.74,4.66,1276.78,5.44,37.31,36.03,47.86,1888.83,5221.46,1.73,3.36,7.21,10.87,9.06,6.78,7.05,27.39,26.31,27.08,-13.9,-1.4,-2.81,22.37,4.77,4983.94,4.24,2468.6,1888.83,5.19,1546.89,1818.59,1900.81,363.23,5187.67,37.31,40.19
Orient Electric,541301,ORIENTELEC,Domestic Appliances,275.95,5855.26,46.24,50.18,,38.52,0.12,58.19,48.78,-22.16,753.32,-6.04,32.99,33.76,9.45,126.64,2448.37,9.51,63.13,5.59,21.61,60.69,,,26.18,26.26,25.4,-9.7,18.77,,10.78,20.46,2032.6,,219.79,126.64,,92.25,-30.92,391.42,133,437.57,32.99,31.5
P & G Health Ltd,500126,PGHL,Pharmaceuticals - Multinational,4243.8,7044.71,38.03,32.24,,51.82,0,21.5,51.16,224.41,267.82,22.21,46.79,29.13,23.29,185.26,1103.91,13.05,1.43,-3.39,29.1,26.65,17.89,10.88,31.79,40,22,-26.93,2.31,31.49,16.38,19.41,1355.86,3.41,318.66,176.8,7.08,285.52,195.89,212.4,-483.4,251.36,46.79,38.1
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,2578.15,39115.21,46.36,23.65,,46.74,0.05,59.83,204.4,13.68,1395.2,16.55,20.08,17.27,21.56,843.8,5299.5,23.1,18.41,14.3,27.94,12.94,18.93,26.36,17.47,16.75,14.72,-9.07,33.01,26.07,11.41,15.79,4577,15.44,1018,843.8,19.68,560.51,192.5,287.5,-15,508.8,20.08,21.17
Page Industries,532827,PAGEIND,Textiles - Products,41346.65,46101.51,85.93,16.17,,47.19,0.1,15.5,190.52,64.87,1111.11,26.15,56.68,67.04,20.21,536.53,3886.46,10.86,12.8,57.36,11.65,15.04,15.51,19.53,46.43,46.3,54.37,37.24,26.7,20.37,28.19,37.19,2832.96,14.1,527.71,536.53,18.76,390.43,229.03,682.36,-71.1,1353.68,56.68,60.2
Panacea Biotec,531349,PANACEABIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,145.9,893.65,,23.78,,73.59,0.04,72.68,1237.42,29.74,140.73,-16.37,1.42,-6.41,-2.1,-197.57,661.23,13.13,3.98,-33.83,9.54,,-24.83,-0.86,,,-66.02,-63.2,-0.51,1.21,-13.34,5.83,624.81,-0.55,75.22,1077.89,-0.71,-173.42,1703.06,89.26,11.86,1771.05,1.42,-2.4
