Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Suven Pharma,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,480.25,12225.48,26.94,23.78,,60,0.06,65.35,91.67,10.29,363.85,40.4,44.84,45.71,43.89,453.8,1320.22,51.75,,26.15,60.79,,,,,36.5,33.52,-0.86,,,27.47,30.75,1009.72,,443.01,453.8,,,254.81,272.62,-4.51,831.41,44.84,
Syngene Intl.,539268,SYNGENE,Pharmaceuticals - Indian - Bulk Drugs & Formln,535,21476.75,51.27,23.78,9.83,70.41,0.31,71.31,147,12.01,758.7,15.29,14.47,13.37,30.5,418.9,2601.4,12.53,16.72,10.66,8.58,7.88,13.28,19.42,16.05,15.16,13.71,-9.43,17.1,18.13,8.03,19.36,2179.4,17.13,675.9,393.8,20.1,354.31,106.7,251.5,127.1,392.5,14.47,15.07
T C P,530282,TCPLTD,Power Generation And Supply,111.8,,,37.31,-8.09,,0.15,125.38,6.85,22.32,96.7,-5.29,2.65,-0.95,0.11,-8.81,249.61,-6.17,-7.67,-202.8,,,,,2.33,0.73,-2.11,,,,-1.57,-30.8,360.72,-4.17,26.32,-4.07,-0.13,9.38,-7.65,30.2,5.32,14.19,2.65,4.5
Tanla Platforms,532790,TANLA,Computers - Software - Medium / Small,1276.8,17331.99,32.14,26.37,26.18,43.74,0.04,63.79,140.62,37.14,853.05,31.53,33.73,58.61,21.84,539.28,3205.97,47.26,40.8,52.05,181.72,67.48,113.35,18.44,19.22,27.71,48,52.95,170.03,104.38,26.92,36.92,2341.47,44.6,434.67,539.28,33.51,153.71,424.75,529.31,383.57,1055.81,33.73,23.07
Tata Chemicals,500770,TATACHEM,Chemicals,944.35,24058.26,19.01,23.06,,37.98,0.38,55.91,438.17,3622.77,3480.67,32.03,16.56,8.54,18.26,1265.87,12622.12,6.88,4.06,437.58,8.42,4.97,11.4,3.3,18.39,19.71,7.78,26.17,50.04,27.93,4.55,23.75,10199.8,-4.33,1506.43,1257.62,-0.9,2343.1,379.06,803.82,-564.92,1793.48,16.56,15.67
Tata Consumer,500800,TATACONSUM,Tea,756.6,69724.6,72.24,12.51,,34.72,0.09,24.53,217.54,170.56,3175.41,4.55,9.31,9.61,13.83,965.23,12425.37,19.66,12.88,11.07,33.23,20.24,16.87,11.02,6.29,6.21,6.51,5.76,43.67,37.83,5.07,7.1,11602.03,6.5,1543.76,935.78,6.47,672.4,1269.73,1477.19,883.84,3678.39,9.31,9.49
Tata Elxsi,500408,TATAELXSI,Computers - Software - Medium / Small,8602.9,53575.8,97.58,26.37,,44.08,0.09,99.39,160.01,38.93,681.74,31.51,41.78,47.72,31.03,549.04,2470.8,15.66,14.83,50.28,24.03,25.89,27.02,32,32.75,31.64,37.18,125.2,115.84,61.99,28.26,35.3,1826.16,16.48,523.53,549.67,16.99,340.78,411.85,398.56,-128.01,1043.28,41.78,45.03
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs,428.05,152609.01,,147.31,-34.46,46.41,3.29,16.31,-1032.84,-121.49,78439.06,-11.5,2.39,1.51,8.88,-11059.56,278453.62,-2.66,0.64,-507.57,,,,,-3.61,-10.67,-22.16,22.04,36.3,-1.27,-3.29,11.47,249794.75,0.81,32287.43,-11441.47,5.33,-2338.94,-655.49,9145.69,13232.21,5592.59,2.39,3.46
Tata Power Co.,500400,TATAPOWER,Power Generation And Supply,230.25,73572.69,42.25,37.31,,46.86,2.28,50.98,503.11,28.04,11959.96,15.41,7.93,9.06,15.21,1741.46,42815.67,12.74,9.19,163,100.83,7.8,40.54,16.54,3.81,4.54,8.05,83.17,51.47,23.89,2.04,31.87,32468.1,3.53,5881.18,1741.46,5.09,675.9,-540.22,6671.31,1848.46,11316.97,7.93,7.41
TCPL Packaging,523301,TCPLPACK,Packaging,881.8,802.44,16.29,12.21,,55.74,1.19,77.6,18.51,47.02,322.85,31.02,13.97,14.95,14.54,49.26,1076.02,9.67,11.91,47.18,19.37,8.67,6.21,20.36,13.08,13.82,15.28,84.61,34.84,11.94,5.34,19.05,903.82,11.64,133.73,49.26,14.27,33.7,-27.45,60.8,2.76,58.34,13.97,13.23
